type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
shared_tap,Rural,Amanzi,Rural,3604,240,NULL
well,Rural,Hawassa,Rural,300,0,"Contaminated: Chemical"
tap_in_home_broken,Ilanga,Sokoto,Urban,306,0,NULL
well,Rural,Akatsi,Rural,194,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,346,0,"Contaminated: Biological"
well,Bahari,Sokoto,Urban,392,0,"Contaminated: Chemical"
tap_in_home_broken,Zuri,Kilimani,Urban,622,0,NULL
tap_in_home,Rural,Hawassa,Rural,306,0,NULL
tap_in_home,Rural,Hawassa,Rural,882,0,NULL
tap_in_home,Lusaka,Akatsi,Urban,612,0,NULL
shared_tap,Rural,Kilimani,Rural,1098,102,NULL
well,Rural,Akatsi,Rural,242,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,380,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,3032,240,NULL
tap_in_home,Bahari,Sokoto,Urban,920,0,NULL
tap_in_home_broken,Serowe,Hawassa,Urban,928,0,NULL
well,Pwani,Amanzi,Urban,392,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,380,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,248,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,336,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,1808,24,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,514,0,NULL
tap_in_home,Rural,Kilimani,Rural,774,0,NULL
river,Bahari,Sokoto,Urban,982,10,NULL
shared_tap,Rural,Kilimani,Rural,1546,22,NULL
shared_tap,Rural,Kilimani,Rural,2406,27,NULL
tap_in_home,Bahari,Sokoto,Urban,352,0,NULL
shared_tap,Rural,Sokoto,Rural,3082,30,NULL
tap_in_home,Abidjan,Amanzi,Urban,390,0,NULL
shared_tap,Rural,Sokoto,Rural,2850,29,NULL
tap_in_home_broken,Zuri,Kilimani,Urban,656,0,NULL
well,Deka,Hawassa,Urban,324,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,330,0,"Contaminated: Biological"
well,Amina,Amanzi,Urban,306,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,166,0,Clean
well,Rural,Akatsi,Rural,394,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,196,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,812,0,NULL
well,Rural,Kilimani,Rural,366,0,"Contaminated: Chemical"
river,Djenne,Hawassa,Urban,660,10,NULL
well,Rural,Akatsi,Rural,398,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,322,0,"Contaminated: Chemical"
shared_tap,Lusaka,Akatsi,Urban,826,19,NULL
well,Serowe,Hawassa,Urban,348,0,Clean
tap_in_home_broken,Lusaka,Akatsi,Urban,474,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,994,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,884,0,NULL
well,Amara,Kilimani,Urban,372,0,"Contaminated: Biological"
tap_in_home,Rural,Amanzi,Rural,454,0,NULL
well,Rural,Sokoto,Rural,252,0,"Contaminated: Chemical"
well,Mrembo,Kilimani,Urban,220,0,Clean
well,Harare,Akatsi,Urban,162,0,Clean
well,Rural,Hawassa,Rural,248,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,356,0,"Contaminated: Biological"
river,Rural,Kilimani,Rural,964,26,NULL
shared_tap,Rural,Hawassa,Rural,3142,240,NULL
tap_in_home_broken,Rural,Amanzi,Rural,308,0,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,744,0,NULL
well,Rural,Hawassa,Rural,186,0,"Contaminated: Chemical"
well,Kintampo,Akatsi,Urban,222,0,Clean
well,Isiqalo,Kilimani,Urban,212,0,"Contaminated: Biological"
well,Mrembo,Kilimani,Urban,226,0,"Contaminated: Chemical"
well,Ilanga,Sokoto,Urban,168,0,Clean
shared_tap,Rural,Kilimani,Rural,2090,25,NULL
tap_in_home_broken,Amara,Kilimani,Urban,404,0,NULL
well,Kofi,Sokoto,Urban,266,0,"Contaminated: Biological"
well,Marang,Sokoto,Urban,276,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,556,17,NULL
shared_tap,Rural,Akatsi,Rural,2004,168,NULL
tap_in_home_broken,Amina,Amanzi,Urban,898,0,NULL
well,Rural,Hawassa,Rural,332,0,"Contaminated: Biological"
tap_in_home_broken,Abidjan,Amanzi,Urban,540,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,772,0,NULL
shared_tap,Rural,Amanzi,Rural,1810,24,NULL
shared_tap,Djenne,Hawassa,Urban,930,19,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,426,0,NULL
well,Kintampo,Akatsi,Urban,288,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,870,0,NULL
well,Marang,Sokoto,Urban,340,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,370,0,"Contaminated: Biological"
tap_in_home_broken,Cheche,Sokoto,Urban,912,0,NULL
well,Rural,Hawassa,Rural,256,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,2694,28,NULL
tap_in_home,Rural,Amanzi,Rural,814,0,NULL
well,Rural,Kilimani,Rural,276,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,3970,240,NULL
tap_in_home,Rural,Akatsi,Rural,888,0,NULL
tap_in_home,Rural,Amanzi,Rural,616,0,NULL
shared_tap,Rural,Hawassa,Rural,1396,22,NULL
tap_in_home_broken,Rural,Amanzi,Rural,474,0,NULL
tap_in_home_broken,Majengo,Sokoto,Urban,708,0,NULL
tap_in_home,Rural,Sokoto,Rural,346,0,NULL
well,Isiqalo,Kilimani,Urban,366,0,Clean
tap_in_home,Rural,Sokoto,Rural,348,0,NULL
well,Isiqalo,Kilimani,Urban,242,0,Clean
shared_tap,Rural,Kilimani,Rural,3420,30,NULL
well,Rural,Kilimani,Rural,368,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,2696,218,NULL
shared_tap,Harare,Kilimani,Urban,3850,240,NULL
tap_in_home,Deka,Hawassa,Urban,956,0,NULL
well,Deka,Hawassa,Urban,392,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,350,0,Clean
tap_in_home_broken,Rural,Sokoto,Rural,898,0,NULL
well,Rural,Akatsi,Rural,384,0,Clean
tap_in_home_broken,Harare,Kilimani,Urban,692,0,NULL
tap_in_home,Kintampo,Akatsi,Urban,636,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,500,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,304,0,NULL
tap_in_home_broken,Majengo,Sokoto,Urban,810,0,NULL
well,Rural,Akatsi,Rural,186,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,706,0,NULL
tap_in_home_broken,Ilanga,Sokoto,Urban,998,0,NULL
well,Deka,Hawassa,Urban,164,0,"Contaminated: Biological"
tap_in_home,Cheche,Sokoto,Urban,968,0,NULL
well,Rural,Amanzi,Rural,394,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,3570,240,NULL
tap_in_home_broken,Isiqalo,Kilimani,Urban,968,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,454,0,NULL
river,Ilanga,Sokoto,Urban,600,26,NULL
well,Rural,Kilimani,Rural,234,0,Clean
well,Amara,Kilimani,Urban,206,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Hawassa,Rural,712,0,NULL
well,Zanzibar,Hawassa,Urban,284,0,"Contaminated: Biological"
river,Asmara,Amanzi,Urban,666,10,NULL
well,Amara,Kilimani,Urban,200,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Kilimani,Rural,712,0,NULL
shared_tap,Rural,Hawassa,Rural,928,19,NULL
well,Rural,Akatsi,Rural,292,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,222,0,Clean
tap_in_home,Rural,Akatsi,Rural,340,0,NULL
well,Rural,Akatsi,Rural,372,0,Clean
tap_in_home,Zanzibar,Hawassa,Urban,874,0,NULL
well,Rural,Sokoto,Rural,356,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,1950,25,NULL
well,Rural,Akatsi,Rural,330,0,Clean
well,Amara,Kilimani,Urban,292,0,Clean
tap_in_home,Dahabu,Amanzi,Urban,318,0,NULL
tap_in_home,Rural,Hawassa,Rural,390,0,NULL
tap_in_home,Asmara,Amanzi,Urban,956,0,NULL
well,Marang,Sokoto,Urban,256,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,394,0,NULL
tap_in_home,Rural,Hawassa,Rural,700,0,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,784,0,NULL
well,Rural,Hawassa,Rural,382,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,308,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Akatsi,Rural,678,0,NULL
tap_in_home,Kintampo,Akatsi,Urban,626,0,NULL
well,Rural,Akatsi,Rural,232,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,2080,25,NULL
well,Rural,Kilimani,Rural,370,0,"Contaminated: Chemical"
tap_in_home,Rural,Sokoto,Rural,538,0,NULL
shared_tap,Rural,Kilimani,Rural,592,18,NULL
well,Mrembo,Kilimani,Urban,360,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,190,0,"Contaminated: Chemical"
shared_tap,Asmara,Amanzi,Urban,672,71,NULL
river,Harare,Kilimani,Urban,778,9,NULL
well,Kintampo,Akatsi,Urban,256,0,Clean
tap_in_home,Zanzibar,Hawassa,Urban,876,0,NULL
shared_tap,Rural,Hawassa,Rural,1608,139,NULL
river,Rural,Sokoto,Rural,792,24,NULL
tap_in_home,Rural,Sokoto,Rural,316,0,NULL
well,Harare,Kilimani,Urban,206,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,386,0,"Contaminated: Chemical"
well,Zuri,Kilimani,Urban,168,0,Clean
well,Rural,Akatsi,Rural,386,0,"Contaminated: Chemical"
well,Lusaka,Akatsi,Urban,288,0,"Contaminated: Chemical"
river,Ilanga,Sokoto,Urban,830,27,NULL
river,Majengo,Sokoto,Urban,466,12,NULL
shared_tap,Dahabu,Amanzi,Urban,1398,124,NULL
shared_tap,Rural,Kilimani,Rural,1552,23,NULL
well,Lusaka,Akatsi,Urban,226,0,"Contaminated: Biological"
well,Harare,Kilimani,Urban,304,0,"Contaminated: Chemical"
tap_in_home,Yaounde,Hawassa,Urban,838,0,NULL
well,Bahari,Sokoto,Urban,328,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,370,0,"Contaminated: Biological"
well,Amara,Kilimani,Urban,354,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,200,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,2044,25,NULL
tap_in_home_broken,Rural,Kilimani,Rural,686,0,NULL
well,Rural,Akatsi,Rural,184,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Hawassa,Rural,992,0,NULL
well,Rural,Hawassa,Rural,294,0,"Contaminated: Chemical"
well,Isiqalo,Kilimani,Urban,194,0,"Contaminated: Biological"
tap_in_home,Dahabu,Amanzi,Urban,444,0,NULL
well,Rural,Sokoto,Rural,172,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,166,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,570,0,NULL
tap_in_home,Rural,Akatsi,Rural,558,0,NULL
well,Rural,Akatsi,Rural,352,0,"Contaminated: Chemical"
well,Zuri,Kilimani,Urban,180,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,2984,239,NULL
well,Rural,Amanzi,Rural,342,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,264,0,Clean
tap_in_home,Rural,Akatsi,Rural,306,0,NULL
well,Rural,Akatsi,Rural,240,0,"Contaminated: Biological"
shared_tap,Rural,Akatsi,Rural,1808,154,NULL
well,Rural,Akatsi,Rural,298,0,Clean
well,Rural,Amanzi,Rural,236,0,Clean
well,Kofi,Sokoto,Urban,342,0,"Contaminated: Chemical"
well,Amara,Kilimani,Urban,208,0,Clean
tap_in_home,Rural,Amanzi,Rural,470,0,NULL
shared_tap,Rural,Hawassa,Rural,1808,24,NULL
well,Rural,Hawassa,Rural,172,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,166,0,Clean
well,Isiqalo,Kilimani,Urban,194,0,"Contaminated: Biological"
well,Harare,Akatsi,Urban,244,0,Clean
well,Marang,Sokoto,Urban,334,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,224,0,"Contaminated: Biological"
tap_in_home,Rural,Akatsi,Rural,574,0,NULL
well,Rural,Kilimani,Rural,234,0,"Contaminated: Biological"
tap_in_home,Kintampo,Akatsi,Urban,602,0,NULL
well,Rural,Sokoto,Rural,184,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,354,0,"Contaminated: Chemical"
tap_in_home,Rural,Kilimani,Rural,818,0,NULL
well,Serowe,Hawassa,Urban,210,0,Clean
well,Rural,Amanzi,Rural,274,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,378,0,Clean
tap_in_home_broken,Kofi,Sokoto,Urban,378,0,NULL
tap_in_home,Kintampo,Akatsi,Urban,346,0,NULL
tap_in_home,Marang,Sokoto,Urban,802,0,NULL
shared_tap,Asmara,Amanzi,Urban,1898,24,NULL
tap_in_home,Asmara,Amanzi,Urban,582,0,NULL
well,Serowe,Hawassa,Urban,208,0,Clean
shared_tap,Rural,Sokoto,Rural,2766,223,NULL
tap_in_home,Lusaka,Akatsi,Urban,762,0,NULL
well,Ilanga,Sokoto,Urban,366,0,"Contaminated: Chemical"
well,Rural,Amanzi,Rural,346,0,"Contaminated: Chemical"
shared_tap,Zuri,Kilimani,Urban,1650,142,NULL
well,Kintampo,Akatsi,Urban,322,0,Clean
well,Rural,Akatsi,Rural,324,0,Clean
well,Rural,Sokoto,Rural,220,0,"Contaminated: Biological"
well,Harare,Akatsi,Urban,244,0,"Contaminated: Biological"
tap_in_home_broken,Isiqalo,Kilimani,Urban,744,0,NULL
well,Ilanga,Sokoto,Urban,332,0,"Contaminated: Chemical"
shared_tap,Pwani,Amanzi,Urban,2576,28,NULL
shared_tap,Kofi,Sokoto,Urban,2182,181,NULL
well,Rural,Akatsi,Rural,336,0,Clean
well,Djenne,Hawassa,Urban,374,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,168,0,Clean
tap_in_home_broken,Serowe,Hawassa,Urban,874,0,NULL
tap_in_home,Rural,Amanzi,Rural,852,0,NULL
well,Rural,Kilimani,Rural,274,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Sokoto,Rural,580,0,NULL
tap_in_home,Rural,Kilimani,Rural,928,0,NULL
river,Rural,Kilimani,Rural,690,12,NULL
well,Rural,Hawassa,Rural,212,0,"Contaminated: Biological"
tap_in_home,Kintampo,Akatsi,Urban,576,0,NULL
well,Rural,Akatsi,Rural,202,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,310,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,396,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,228,0,"Contaminated: Chemical"
well,Harare,Kilimani,Urban,290,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,284,0,"Contaminated: Chemical"
shared_tap,Zuri,Kilimani,Urban,3578,240,NULL
well,Yaounde,Hawassa,Urban,316,0,"Contaminated: Chemical"
well,Amara,Kilimani,Urban,244,0,"Contaminated: Chemical"
tap_in_home,Rural,Hawassa,Rural,454,0,NULL
tap_in_home,Harare,Kilimani,Urban,594,0,NULL
well,Rural,Hawassa,Rural,236,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,3374,240,NULL
well,Rural,Akatsi,Rural,270,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,3224,240,NULL
well,Rural,Sokoto,Rural,326,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,1572,137,NULL
well,Isiqalo,Kilimani,Urban,302,0,"Contaminated: Biological"
well,Isiqalo,Kilimani,Urban,348,0,"Contaminated: Biological"
shared_tap,Dahabu,Amanzi,Urban,1624,23,NULL
well,Rural,Akatsi,Rural,240,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,210,0,Clean
well,Rural,Hawassa,Rural,370,0,"Contaminated: Biological"
shared_tap,Rural,Kilimani,Rural,3270,240,NULL
well,Rural,Akatsi,Rural,186,0,Clean
well,Rural,Akatsi,Rural,390,0,Clean
well,Pwani,Amanzi,Urban,294,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Kilimani,Rural,478,0,NULL
well,Lusaka,Akatsi,Urban,256,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,218,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,908,0,NULL
well,Zanzibar,Hawassa,Urban,318,0,"Contaminated: Biological"
tap_in_home,Zanzibar,Hawassa,Urban,810,0,NULL
shared_tap,Rural,Sokoto,Rural,1024,97,NULL
well,Rural,Akatsi,Rural,192,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,358,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,332,0,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,478,0,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,360,0,NULL
shared_tap,Rural,Akatsi,Rural,3506,30,NULL
well,Isiqalo,Kilimani,Urban,398,0,Clean
tap_in_home,Dahabu,Amanzi,Urban,550,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,356,0,NULL
tap_in_home,Amara,Kilimani,Urban,876,0,NULL
well,Rural,Sokoto,Rural,350,0,"Contaminated: Chemical"
tap_in_home_broken,Amina,Amanzi,Urban,998,0,NULL
tap_in_home,Harare,Kilimani,Urban,428,0,NULL
well,Lusaka,Akatsi,Urban,384,0,Clean
well,Deka,Hawassa,Urban,232,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,270,0,"Contaminated: Biological"
well,Bahari,Sokoto,Urban,256,0,Clean
tap_in_home,Rural,Hawassa,Rural,836,0,NULL
well,Harare,Akatsi,Urban,166,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,2068,173,NULL
river,Majengo,Sokoto,Urban,992,8,NULL
well,Bahari,Sokoto,Urban,282,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,658,0,NULL
tap_in_home,Rural,Amanzi,Rural,346,0,NULL
river,Zuri,Kilimani,Urban,600,13,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,572,0,NULL
well,Rural,Kilimani,Rural,174,0,Clean
tap_in_home_broken,Amina,Amanzi,Urban,646,0,NULL
shared_tap,Rural,Kilimani,Rural,622,68,NULL
well,Amina,Amanzi,Urban,178,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,166,0,"Contaminated: Chemical"
tap_in_home,Rural,Kilimani,Rural,964,0,NULL
well,Rural,Sokoto,Rural,212,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,690,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,412,0,NULL
well,Zanzibar,Hawassa,Urban,252,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,316,0,NULL
well,Rural,Akatsi,Rural,236,0,Clean
river,Rural,Akatsi,Rural,898,6,NULL
river,Rural,Kilimani,Rural,814,11,NULL
river,Ilanga,Sokoto,Urban,462,26,NULL
tap_in_home_broken,Rural,Sokoto,Rural,582,0,NULL
river,Rural,Sokoto,Rural,468,8,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,476,0,NULL
well,Ilanga,Sokoto,Urban,236,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,210,0,"Contaminated: Chemical"
tap_in_home,Rural,Kilimani,Rural,596,0,NULL
tap_in_home_broken,Kofi,Sokoto,Urban,920,0,NULL
river,Cheche,Sokoto,Urban,926,7,NULL
tap_in_home,Asmara,Amanzi,Urban,572,0,NULL
well,Rural,Kilimani,Rural,304,0,Clean
well,Rural,Akatsi,Rural,340,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,992,12,NULL
shared_tap,Rural,Amanzi,Rural,214,38,NULL
well,Mrembo,Kilimani,Urban,310,0,Clean
tap_in_home,Rural,Amanzi,Rural,756,0,NULL
river,Rural,Kilimani,Rural,520,7,NULL
well,Rural,Amanzi,Rural,204,0,Clean
tap_in_home_broken,Pwani,Amanzi,Urban,784,0,NULL
river,Rural,Sokoto,Rural,544,8,NULL
river,Ilanga,Sokoto,Urban,686,16,NULL
well,Kofi,Sokoto,Urban,326,0,"Contaminated: Chemical"
tap_in_home,Abidjan,Amanzi,Urban,580,0,NULL
tap_in_home,Bello,Amanzi,Urban,434,0,NULL
tap_in_home,Harare,Kilimani,Urban,794,0,NULL
well,Kofi,Sokoto,Urban,362,0,"Contaminated: Chemical"
tap_in_home_broken,Asmara,Amanzi,Urban,520,0,NULL
shared_tap,Rural,Sokoto,Rural,256,41,NULL
shared_tap,Amara,Kilimani,Urban,3020,30,NULL
well,Amara,Kilimani,Urban,166,0,Clean
shared_tap,Rural,Kilimani,Rural,2404,197,NULL
shared_tap,Rural,Amanzi,Rural,3298,240,NULL
well,Rural,Kilimani,Rural,266,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,2160,179,NULL
well,Rural,Kilimani,Rural,284,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,820,0,NULL
river,Rural,Sokoto,Rural,520,29,NULL
shared_tap,Rural,Akatsi,Rural,3036,30,NULL
tap_in_home,Pwani,Amanzi,Urban,558,0,NULL
river,Rural,Akatsi,Rural,794,17,NULL
well,Harare,Kilimani,Urban,292,0,Clean
well,Rural,Kilimani,Rural,168,0,"Contaminated: Biological"
tap_in_home,Rural,Akatsi,Rural,952,0,NULL
well,Rural,Sokoto,Rural,246,0,Clean
river,Isiqalo,Kilimani,Urban,878,29,NULL
well,Rural,Amanzi,Rural,200,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,240,0,"Contaminated: Biological"
shared_tap,Rural,Hawassa,Rural,1272,21,NULL
tap_in_home_broken,Rural,Amanzi,Rural,344,0,NULL
tap_in_home,Ilanga,Sokoto,Urban,366,0,NULL
tap_in_home,Amara,Kilimani,Urban,990,0,NULL
well,Amina,Hawassa,Urban,222,0,"Contaminated: Biological"
well,Rural,Sokoto,Rural,282,0,Clean
well,Ilanga,Sokoto,Urban,316,0,"Contaminated: Biological"
tap_in_home_broken,Kintampo,Akatsi,Urban,428,0,NULL
tap_in_home_broken,Abidjan,Amanzi,Urban,522,0,NULL
shared_tap,Rural,Sokoto,Rural,2946,236,NULL
well,Rural,Akatsi,Rural,246,0,Clean
tap_in_home_broken,Serowe,Hawassa,Urban,446,0,NULL
well,Rural,Kilimani,Rural,246,0,Clean
tap_in_home,Rural,Akatsi,Rural,842,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,618,0,NULL
tap_in_home,Rural,Akatsi,Rural,672,0,NULL
shared_tap,Rural,Kilimani,Rural,664,18,NULL
shared_tap,Abidjan,Amanzi,Urban,576,64,NULL
tap_in_home_broken,Rural,Amanzi,Rural,656,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,790,0,NULL
well,Rural,Sokoto,Rural,214,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,366,0,Clean
tap_in_home_broken,Isiqalo,Kilimani,Urban,928,0,NULL
tap_in_home_broken,Bello,Amanzi,Urban,936,0,NULL
tap_in_home,Rural,Sokoto,Rural,354,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,746,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,596,0,NULL
tap_in_home,Amara,Kilimani,Urban,586,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,490,0,NULL
tap_in_home,Majengo,Sokoto,Urban,594,0,NULL
river,Rural,Sokoto,Rural,430,24,NULL
shared_tap,Rural,Amanzi,Rural,1246,21,NULL
tap_in_home,Rural,Sokoto,Rural,946,0,NULL
well,Rural,Kilimani,Rural,282,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,326,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,1528,22,NULL
well,Kofi,Sokoto,Urban,200,0,"Contaminated: Biological"
river,Mrembo,Kilimani,Urban,644,20,NULL
well,Rural,Kilimani,Rural,234,0,"Contaminated: Biological"
shared_tap,Rural,Kilimani,Rural,1364,22,NULL
well,Rural,Hawassa,Rural,256,0,"Contaminated: Biological"
tap_in_home_broken,Harare,Kilimani,Urban,510,0,NULL
well,Zanzibar,Hawassa,Urban,316,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,2790,225,NULL
tap_in_home,Rural,Kilimani,Rural,470,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,554,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,464,0,NULL
well,Rural,Kilimani,Rural,382,0,"Contaminated: Biological"
well,Isiqalo,Kilimani,Urban,344,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,180,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,730,18,NULL
well,Rural,Sokoto,Rural,230,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,170,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,344,0,"Contaminated: Chemical"
tap_in_home_broken,Lusaka,Akatsi,Urban,930,0,NULL
tap_in_home,Rural,Hawassa,Rural,368,0,NULL
well,Rural,Akatsi,Rural,188,0,Clean
shared_tap,Rural,Hawassa,Rural,3596,240,NULL
tap_in_home,Rural,Amanzi,Rural,308,0,NULL
river,Rural,Akatsi,Rural,536,17,NULL
well,Lusaka,Akatsi,Urban,308,0,Clean
tap_in_home,Rural,Akatsi,Rural,718,0,NULL
well,Rural,Kilimani,Rural,314,0,"Contaminated: Biological"
well,Rural,Sokoto,Rural,374,0,Clean
river,Rural,Sokoto,Rural,690,23,NULL
well,Rural,Akatsi,Rural,260,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,864,0,NULL
river,Rural,Sokoto,Rural,642,14,NULL
shared_tap,Asmara,Amanzi,Urban,522,61,NULL
well,Lusaka,Akatsi,Urban,288,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,1926,162,NULL
well,Rural,Kilimani,Rural,298,0,Clean
shared_tap,Rural,Sokoto,Rural,1564,136,NULL
well,Marang,Sokoto,Urban,300,0,"Contaminated: Chemical"
well,Amina,Amanzi,Urban,228,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,190,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,474,0,NULL
well,Ilanga,Sokoto,Urban,208,0,Clean
well,Rural,Akatsi,Rural,310,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,270,0,"Contaminated: Biological"
tap_in_home_broken,Kintampo,Akatsi,Urban,832,0,NULL
well,Rural,Akatsi,Rural,328,0,Clean
well,Majengo,Sokoto,Urban,188,0,Clean
well,Kintampo,Akatsi,Urban,394,0,"Contaminated: Chemical"
shared_tap,Kintampo,Akatsi,Urban,850,19,NULL
well,Amina,Hawassa,Urban,184,0,"Contaminated: Chemical"
well,Isiqalo,Kilimani,Urban,338,0,Clean
well,Rural,Akatsi,Rural,298,0,Clean
well,Rural,Sokoto,Rural,218,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,616,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,574,0,NULL
tap_in_home_broken,Rural,Akatsi,Rural,816,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,614,0,NULL
tap_in_home,Harare,Kilimani,Urban,904,0,NULL
